,NUMERO_EKOGUI,ID_ENTIDAD,PROBA_FAVORABLE,CATEGORIA_PREDICCION
555918,837657,115,0.5454545455,FAVORABLE
437389,61711,405,0.1223021583,DESFAVORABLE
483376,692356,356,0.2981651376,DESFAVORABLE
421252,591900,405,0.1223021583,DESFAVORABLE
87064,121488,415,0.6521400778,FAVORABLE
33052,1077108,405,0.1223021583,DESFAVORABLE
587205,898039,124,0.3942857143,DESFAVORABLE
112132,129652,227,0.8177339901,FAVORABLE
360567,500896,356,0.4208037825,DESFAVORABLE
52449,1123811,426,0.8177339901,FAVORABLE
384273,53678,405,0.1223021583,DESFAVORABLE
602786,91772,124,0.277486911,DESFAVORABLE
271153,337211,209,0.8177339901,FAVORABLE
355681,492130,405,0.1223021583,DESFAVORABLE
340494,467067,405,0.1223021583,DESFAVORABLE
136903,141873,244,0.6521400778,FAVORABLE
341424,468587,125,0.8177339901,FAVORABLE
99685,1253641,405,0.3390342052,DESFAVORABLE
195637,208287,356,0.2981651376,DESFAVORABLE
253831,306414,159,0.6521400778,FAVORABLE
51067,1119904,356,0.2981651376,DESFAVORABLE
74618,1182646,405,0.1223021583,DESFAVORABLE
590877,904273,405,0.1223021583,DESFAVORABLE
222698,247582,405,0.1223021583,DESFAVORABLE
625485,958811,124,0.277486911,DESFAVORABLE
459419,645444,405,0.1223021583,DESFAVORABLE
518860,76139,125,0.6521400778,FAVORABLE
231151,260213,405,0.1223021583,DESFAVORABLE
70805,1171252,405,0.1223021583,DESFAVORABLE
163444,177272,114,0.2547425474,DESFAVORABLE
42776,1098923,356,0.4208037825,DESFAVORABLE
242622,278017,115,0.3647058824,DESFAVORABLE
119293,1323409,405,0.3390342052,DESFAVORABLE
116284,1312408,356,0.2981651376,DESFAVORABLE
372648,521401,405,0.3390342052,DESFAVORABLE
503586,72970,125,0.6521400778,FAVORABLE
160534,174437,114,0.2547425474,DESFAVORABLE
24506,105639,232,0.6086956522,FAVORABLE
129050,136598,550,0.6521400778,FAVORABLE
194825,207416,356,0.2981651376,DESFAVORABLE
327122,442784,232,0.6521400778,FAVORABLE
482020,690180,356,0.2981651376,DESFAVORABLE
472393,670455,1687,0.6521400778,FAVORABLE
